match_id,inning,batting_team,team_final_score,wickets_lost,anchor_balls_faced,non_anchor_strike_rate,anchor_present,winner,match_won
419165,1,Chennai Super Kings,168,5,31.0,150.53763440860214,1,Chennai Super Kings,1
419165,2,Mumbai Indians,146,9,49.0,113.1578947368421,1,Chennai Super Kings,0
501198,1,Chennai Super Kings,153,4,56.0,132.3076923076923,1,Chennai Super Kings,1
501198,2,Kolkata Knight Riders,151,7,44.0,112.65822784810126,1,Chennai Super Kings,0
501199,1,Deccan Chargers,137,8,0.0,109.91735537190081,0,Rajasthan Royals,0
501199,2,Rajasthan Royals,141,2,36.0,135.0,1,Rajasthan Royals,1
501200,1,Kochi Tuskers Kerala,161,5,0.0,120.96774193548387,0,Royal Challengers Bangalore,0
501200,2,Royal Challengers Bangalore,162,4,0.0,123.14049586776858,0,Royal Challengers Bangalore,1
501202,1,Kings XI Punjab,112,8,46.0,64.55696202531645,1,Pune Warriors,0
501202,2,Pune Warriors,113,3,33.0,151.0204081632653,1,Pune Warriors,1
501203,1,Kolkata Knight Riders,163,4,45.0,128.2051282051282,1,Kolkata Knight Riders,1
501203,2,Deccan Chargers,154,8,41.0,116.86746987951808,1,Kolkata Knight Riders,0
501204,1,Delhi Daredevils,151,6,44.0,110.00000000000001,1,Rajasthan Royals,0
501204,2,Rajasthan Royals,152,4,64.0,126.0,1,Rajasthan Royals,1
501205,1,Royal Challengers Bangalore,140,4,91.0,84.84848484848484,1,Mumbai Indians,0
501205,2,Mumbai Indians,143,1,46.0,126.86567164179105,1,Mumbai Indians,1
501206,1,Chennai Super Kings,188,4,57.0,180.0,1,Kings XI Punjab,0
501206,2,Kings XI Punjab,193,4,0.0,165.51724137931035,0,Kings XI Punjab,1
501207,1,Kochi Tuskers Kerala,148,8,36.0,112.64367816091954,1,Pune Warriors,0
501207,2,Pune Warriors,151,6,0.0,113.8211382113821,0,Pune Warriors,1
501208,1,Deccan Chargers,175,5,39.0,151.1627906976744,1,Deccan Chargers,1
501208,2,Royal Challengers Bangalore,142,9,0.0,107.2,0,Deccan Chargers,0
501209,1,Rajasthan Royals,159,4,36.0,114.13043478260869,1,Kolkata Knight Riders,0
501209,2,Kolkata Knight Riders,160,1,66.0,158.33333333333331,1,Kolkata Knight Riders,1
501210,1,Mumbai Indians,182,2,0.0,130.95238095238096,0,Kochi Tuskers Kerala,0
501210,2,Kochi Tuskers Kerala,184,2,0.0,142.97520661157023,0,Kochi Tuskers Kerala,1
501211,1,Chennai Super Kings,183,5,0.0,147.93388429752065,0,Chennai Super Kings,1
501211,2,Royal Challengers Bangalore,162,7,0.0,122.39999999999999,0,Chennai Super Kings,0
501212,1,Deccan Chargers,165,8,0.0,131.14754098360655,0,Kings XI Punjab,0
501212,2,Kings XI Punjab,166,2,49.0,142.1875,1,Kings XI Punjab,1
501213,1,Pune Warriors,187,5,0.0,142.06349206349208,0,Delhi Daredevils,0
501213,2,Delhi Daredevils,190,7,0.0,148.7603305785124,0,Delhi Daredevils,1
501216,1,Deccan Chargers,168,4,0.0,133.60655737704917,0,Deccan Chargers,1
501216,2,Delhi Daredevils,152,7,48.0,118.91891891891892,1,Deccan Chargers,0
501218,1,Pune Warriors,118,10,37.0,84.72222222222221,1,Mumbai Indians,0
501218,2,Mumbai Indians,124,3,80.0,102.4390243902439,1,Mumbai Indians,1
501219,1,Kochi Tuskers Kerala,132,7,0.0,100.8130081300813,0,Kochi Tuskers Kerala,1
501219,2,Kolkata Knight Riders,126,9,52.0,98.57142857142858,1,Kochi Tuskers Kerala,0
501220,1,Kings XI Punjab,195,7,0.0,139.0625,0,Kings XI Punjab,1
